total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades,asset,fast_period,slow_period,apo_combination,period_ratio
-0.09353331478567295,-7.366014483490734,-5.0,0.17544404930041047,-21.617796121866547,0.11163510666353693,0.2,0.17544404930041047,0.327626965885561,5,doge,5,14,5-14,2.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,14,5-14,2.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,14,5-14,2.8
-0.06961200255097488,-5.561340486671939,-5.0,0.22532559311712463,-20.017632267634877,0.088191493855173,0.25,0.22532559311712463,0.31743873574313186,4,doge,5,15,5-15,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,15,5-15,3.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,15,5-15,3.0
-0.09353331478567295,-7.366014483490734,-5.0,0.17544404930041047,-21.617796121866547,0.11163510666353693,0.2,0.17544404930041047,0.327626965885561,5,doge,5,16,5-16,3.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,16,5-16,3.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,16,5-16,3.2
-0.09353331478567295,-7.366014483490734,-5.0,0.17544404930041047,-21.617796121866547,0.11163510666353693,0.2,0.17544404930041047,0.327626965885561,5,doge,5,17,5-17,3.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,17,5-17,3.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,17,5-17,3.4
-0.088191493855173,-8.057777893203504,-5.0,0.0,-25.84005885541199,0.088191493855173,0.0,0.0,0.28281660551683074,3,doge,5,18,5-18,3.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,18,5-18,3.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,18,5-18,3.6
-0.057014667288891374,-5.757068234938552,-2.9772777694514287,0.0,-25.35689831080084,0.057014667288891374,0.0,0.0,0.2511200252751551,2,doge,5,19,5-19,3.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,19,5-19,3.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,19,5-19,3.8
-0.050314404518168154,-5.019960159204453,0.0,0.0,-25.200000000000003,0.050314404518168154,0.0,0.0,0.2525763061153007,1,doge,5,20,5-20,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,20,5-20,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,20,5-20,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,21,5-21,4.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,21,5-21,4.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,21,5-21,4.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,22,5-22,4.4
