asset,vidya_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
trx,9,0.5407081948909696,0.8299599470600456,1.3428368681876333,1.3956699284243066,1.028447919261408,0.7027996931080047,0.5094585779517287,1.3956699284243066,0.8708768231464924,1533
sui,9,0.9458925298193952,0.598946885427829,0.8616145634490316,1.1683696716792256,0.5741390771563499,0.6450680914034269,0.45918367346938777,1.1683696716792256,0.6183499868052965,392
sol,9,0.9805012958515213,1.2805777616634029,1.6169566349930058,1.3804457697627475,1.398040713516447,0.6842855403748982,0.5043227665706052,1.3804457697627475,0.747052677122911,1041
bnb,9,0.6270534861152179,1.054937072395502,1.4171026640207116,1.3617347148868162,1.020413162546999,0.6582875647912415,0.5195707070707071,1.3617347148868162,0.6367444214740418,1584
btc,9,0.45771670681534093,1.1582448616809884,1.3217519525969446,1.3394380253276479,0.8700689279838347,0.519603424554002,0.5275555555555556,1.3394380253276479,0.3903240234731538,2250
xrp,10,0.3555752940944983,0.7408422406863229,0.9855016817011255,1.2942557101590029,0.6589053956082123,0.8034270147987521,0.47556245151280063,1.2942557101590029,0.7145683196167003,1289
eth,10,0.20473063783944712,0.6212644873791956,0.6830016697827014,1.1718439577138504,0.44560415554621124,0.6906806202950024,0.4935064935064935,1.1718439577138504,0.49539312291455195,1463
algo,10,0.10954334654951525,0.3336077044303843,0.3864452928912703,1.0972456272573778,0.24364829570446714,0.9032616599726802,0.4850361197110423,1.0972456272573778,0.6596914912480875,969
vet,10,0.21846554142841912,0.6191637479926548,0.7205032456509755,1.1820636288393935,0.5343479032024072,0.7295320235574391,0.49738675958188155,1.1820636288393935,0.6295974342340714,1148
atom,10,0.26111219297564725,0.3486864258029966,0.3978690153955461,1.0961352912424607,0.27315777344768777,0.8084957575124242,0.4834558823529412,1.0961352912424607,0.633368220329779,1088
pol,10,-0.16909827624318086,0.08678028231013628,0.08236465058432747,1.02461874937279,0.07552379767748414,0.5264973924895178,0.4980694980694981,1.02461874937279,0.45820411606862005,259
tao,10,0.674835509665954,1.0754505828723593,1.3571593762688026,1.3113856745976868,1.1525734621057824,0.6571119504658838,0.5023041474654378,1.3113856745976868,0.7042348647175694,434
ltc,10,0.2609699766979865,0.6647697412557456,0.7855668907535254,1.2233095450187925,0.5963026603633104,0.7030746841006106,0.4807897545357524,1.2233095450187925,0.6306624362464761,1874
xlm,10,0.4878800378179424,0.880363486351042,1.1401933519834777,1.3497623986161147,0.8870875473174333,0.6944811593288536,0.5021385799828914,1.3497623986161147,0.6997854838808549,1169
avax,10,0.4815544073086919,0.8725495021973013,1.089848222346326,1.2836409755628493,0.8499401139213388,0.7779448947388445,0.5042527339003645,1.2836409755628493,0.757786888645024,823
link,10,0.6098378834320684,1.0022603835040411,1.3383910411097295,1.2936465148477991,1.1369412708642779,0.6369845914138568,0.49864314789687925,1.2936465148477991,0.7225807612499663,1474
