asset,mfi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
shib,55,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,55,-0.1428571242960267,-4.582575694955839,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502576,1
bonk,56,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,56,-0.177052838530376,-6.513590583445789,-5.0,0.2774136651075554,-18.61443613302002,0.2089512022651329,0.2727272727272727,0.2774136651075554,0.5971374405028163,11
shib,56,-0.09999994543031654,-2.401920578652337,-5.0,0.5238097816028492,-10.49999427018236,0.18181815926872663,0.3333333333333333,0.5238097816028492,0.7948179667155688,3
pepe,56,0.0,0.47612264489979356,0.0,1.1666666414029263,3.4999994694614536,0.1428571242960267,0.5,1.1666666414029263,1.050149293676452,2
bonk,57,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,57,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,57,-0.09999994543031654,-2.401920578652337,-5.0,0.5238097816028492,-10.49999427018236,0.18181815926872663,0.3333333333333333,0.5238097816028492,0.7948179667155688,3
pepe,57,-0.1428571242960267,-4.582575694955839,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502576,1
bonk,58,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,58,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,58,-0.18181815926872658,-6.787829488257438,-5.0,0.0,-22.04999990450284,0.18181815926872658,0.0,0.0,0.5906292138669369,2
pepe,58,-0.1428571242960267,-2.011703747749621,0.0,0.5833333207014632,-17.500000530538546,0.1428571242960267,0.3333333333333333,0.5833333207014632,1.2427275903662685,3
bonk,59,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,59,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,59,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,59,-0.1428571242960267,-2.011703747749621,0.0,0.5833333207014632,-17.500000530538546,0.1428571242960267,0.3333333333333333,0.5833333207014632,1.2427275903662685,3
bonk,60,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,60,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,60,-0.09090912097503123,-4.58257569495584,0.0,0.0,-21.0,0.09090912097503123,0.0,0.0,0.4165979282299783,1
pepe,60,-0.1428571242960267,-2.011703747749621,0.0,0.5833333207014632,-17.500000530538546,0.1428571242960267,0.3333333333333333,0.5833333207014632,1.2427275903662685,3
bonk,61,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,61,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,61,-0.09999994543031654,-2.401920578652337,-5.0,0.5238097816028492,-10.49999427018236,0.18181815926872663,0.3333333333333333,0.5238097816028492,0.7948179667155688,3
pepe,61,-0.1428571242960267,-2.011703747749621,0.0,0.5833333207014632,-17.500000530538546,0.1428571242960267,0.3333333333333333,0.5833333207014632,1.2427275903662685,3
bonk,62,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,62,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,62,-0.09090912097503123,-4.58257569495584,0.0,0.0,-21.0,0.09090912097503123,0.0,0.0,0.4165979282299783,1
pepe,62,-0.1428571242960267,-2.011703747749621,0.0,0.5833333207014632,-17.500000530538546,0.1428571242960267,0.3333333333333333,0.5833333207014632,1.2427275903662685,3
bonk,63,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,63,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,63,-0.09999994543031654,-4.58257569495584,0.0,0.0,-21.0,0.09999994543031654,0.0,0.0,0.45825731942587894,1
pepe,63,-0.1428571242960267,-2.011703747749621,0.0,0.5833333207014632,-17.500000530538546,0.1428571242960267,0.3333333333333333,0.5833333207014632,1.2427275903662685,3
bonk,64,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,64,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,64,-0.009999907231536098,2.8216334368976868e-06,0.0,1.0000009094952214,1.9099399649321772e-05,0.09999994543031657,0.5,1.0000009094952214,0.6768912282184724,2
pepe,64,-0.22126401182135202,-3.4123622333723853,-5.0,0.4418651234791202,-19.980512950808055,0.22126401182135202,0.25,0.4418651234791202,1.2955741950569812,4
bonk,65,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,65,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,65,-0.09999994543031654,-2.401920578652337,-5.0,0.5238097816028492,-10.49999427018236,0.18181815926872663,0.3333333333333333,0.5238097816028492,0.7948179667155688,3
pepe,65,0.0,0.47612264489979356,0.0,1.1666666414029263,3.4999994694614522,0.14285712429602676,0.5,1.1666666414029263,1.050149293676452,2
bonk,66,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,66,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,66,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,66,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
bonk,67,-0.21052583710803952,-3.51626810450363,-5.0,0.5277154445930612,-15.851050277707502,0.26666664241347393,0.42857142857142855,0.5277154445930612,1.202111508752577,7
doge,67,-0.19114969087879896,-7.176148559370786,-5.0,0.26003575499510373,-19.09753468297939,0.22250164465581063,0.25,0.26003575499510373,0.5921327911035997,12
shib,67,0.0,0.2951897520716116,0.0,1.1000000363797895,2.10000076397558,0.09090912097503127,0.5,1.1000000363797895,0.6467339132206747,2
pepe,67,-0.1428571242960267,-4.58257569495584,0.0,0.0,-21.0,0.1428571242960267,0.0,0.0,0.6546535856502574,1
