asset,vzo_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
ada,112,0.40619416970756417,0.8996851901420261,0.9212058796313566,1.303086138865194,0.7462117292405192,0.6438564371366565,0.5150410209662717,1.303086138865194,0.5340237125194189,1097
trx,112,2.8166209994156444,0.4560919116257636,0.4976995673319952,1.1696450511036547,0.4012914789719754,0.61993946635841,0.5104247104247104,1.1696450511036547,0.5454523945432115,1295
sui,112,1.7891584758494137,0.8104275694021792,1.0128419191934512,1.2884538381682993,0.9256593896906583,0.4330899058602581,0.4981549815498155,1.2884538381682993,0.4946694227536149,271
sol,112,0.691919432933092,1.1451707888753777,1.224269180059162,1.3990929154983338,1.117466957153463,0.642962788373047,0.5111386138613861,1.3990929154983338,0.6274083112019755,808
bnb,112,0.36971116880090316,0.8721470417979662,0.9906664927249061,1.3118919557876563,0.7144456363431803,0.5947103571851008,0.5232558139534884,1.3118919557876563,0.48717498221752287,1290
btc,112,0.4772100573047826,1.2723538834996895,1.347710901623842,1.4159196661590459,1.0093482375369147,0.4485109427063048,0.5396825396825397,1.4159196661590459,0.35580017116891943,1953
xrp,113,0.3597622340274307,0.8168131120052101,0.85340308862517,1.3249459393285359,0.7609913547652015,0.595852171908092,0.4938737040527804,1.3249459393285359,0.5551310879755251,1061
eth,113,0.31212740417480167,0.8295574346037685,0.8525941551048508,1.2579787821987325,0.6899543618617823,0.5365177113580823,0.5062402496099844,1.2579787821987325,0.446229181641196,1282
algo,113,2.5051932524276004,0.511214276652166,0.5612982258775127,1.1720049516743734,0.36859898339102637,0.8290139817205658,0.5067155067155067,1.1720049516743734,0.5977409568455032,819
vet,113,0.5839393814285181,1.0784987165117865,1.2253313221051712,1.3861054713215428,1.0564768117945649,0.5838509162701717,0.5117521367521367,1.3861054713215428,0.5719292430680472,936
atom,113,0.15769047382530244,0.5348791513959728,0.5659758709030072,1.1661983090572428,0.45977343287001693,0.6636117652423305,0.4912854030501089,1.1661983090572428,0.5704298972994057,918
