asset,rsi_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
xlm,87,0.6836813624259184,0.3809883927795047,0.46329575457399313,1.1328717918929152,0.3354871766327072,0.7879357373892577,0.48088888888888887,1.1328717918929152,0.6938330429864809,1125
avax,87,0.3224613403543106,0.7246429146865682,0.8440339907517181,1.236827833355863,0.7191063657892737,0.796967599903824,0.5089163237311386,1.236827833355863,0.7908784627619319,729
link,87,0.1991768186005558,0.6150645637272899,0.7343822624250609,1.1599957024864722,0.5064639207984781,0.9213306040441287,0.49401386263390046,1.1599957024864722,0.7586532172299102,1587
ada,87,0.21226989548540343,0.6136005185250942,0.685116693559976,1.179661177334529,0.5120452040297382,0.7465351700295535,0.5068493150684932,1.179661177334529,0.6229782112505253,1241
trx,87,0.13810378447301752,0.5013174989592981,0.6113144475535585,1.149536818452491,0.4026701079769915,0.8272213291144795,0.5199335548172758,1.149536818452491,0.6644437958118075,1806
sui,87,1.0125079783306683,0.6521672918334436,0.8758449183628034,1.1701188995702758,0.63515300804518,0.7044462608798762,0.4841075794621027,1.1701188995702758,0.6860680797808273,409
sol,87,1.072575402472843,1.286871663706896,1.6336022548667064,1.3684214991938055,1.394674383904261,0.7617866877965968,0.5045703839122486,1.3684214991938055,0.8256024352955009,1094
bnb,87,0.5049879920067271,0.9577795223559867,1.1900190149287773,1.280460569149885,0.7970536725991785,0.7402724086799581,0.5231943628890193,1.280460569149885,0.6160466248127784,1703
btc,87,0.49042457957851804,1.1289979867745181,1.264096479060462,1.3075007120578268,0.7688500208815351,0.6433976604622367,0.5391578118850846,1.3075007120578268,0.4381551698730509,2541
xrp,88,-0.5360800006553956,0.21548475433304218,0.23800562662482788,1.066802554050092,0.1572544171559013,0.9171983840228025,0.48668639053254437,1.066802554050092,0.6693443243456586,1352
eth,88,0.2357229714690161,0.6734588040635863,0.6827145157982789,1.1780340367764002,0.4732188588052745,0.7395222313887383,0.5230574857864814,1.1780340367764002,0.5196396042152964,1583
algo,88,0.3280361167380803,0.35556134358515096,0.35205305876182946,1.1222218324801154,0.3172262626169398,0.7105682177916005,0.4879154078549849,1.1222218324801154,0.6339578363372537,662
vet,88,0.21685872495604075,0.6199041824912469,0.6670747684958634,1.1932212598660141,0.5291624568110515,0.7859494853990766,0.5076923076923077,1.1932212598660141,0.6709020077131508,975
atom,88,-0.7480730224084058,0.09371999269818257,0.09305821611442837,1.027469282509728,0.06646325543365605,0.9199122744078796,0.4738636363636364,1.027469282509728,0.6523726977596322,880
pol,88,-0.45270365968131343,-0.48433791500734447,-0.3282491614945669,0.8388005103706982,-0.2606074253985576,0.6729949185816693,0.4485294117647059,0.8388005103706982,0.3621179915993592,136
tao,88,0.657542655645655,1.023130713417229,1.5865991968355686,1.2545044921504325,1.340311396543554,0.6008069267091614,0.47775628626692457,1.2545044921504325,0.787063041340067,517
ltc,88,0.15422133020552975,0.5389175481963733,0.5767865522523774,1.1690111424538063,0.40963241750815677,0.8868422337599795,0.4911242603550296,1.1690111424538063,0.6740907387025016,1859
xlm,88,1.2543066752905436,0.41851129278325877,0.5109248747109127,1.1467005825717222,0.36550468415858844,0.7940225304094432,0.48138297872340424,1.1467005825717222,0.6934554913967569,1128
avax,88,0.3158509595276062,0.7182058683870852,0.8358165342818114,1.2352285466368902,0.738955062874733,0.7680986253428798,0.5062068965517241,1.2352285466368902,0.7902892373448756,725
link,88,0.23191133489339166,0.64977900656469,0.7810586297465855,1.1697390891627524,0.5351763596286162,0.9178279491912533,0.494949494949495,1.1697390891627524,0.7559490467543616,1584
ada,88,0.22735950700279806,0.6333807110739474,0.7086089899309046,1.186334350203084,0.5322076873665422,0.7396019417487821,0.5076923076923077,1.186334350203084,0.6214616771680752,1235
trx,88,0.16238904019489797,0.5321270426915544,0.6561791635522176,1.1592652398967898,0.42565648973007825,0.8272213291144795,0.5201992252351965,1.1592652398967898,0.6617068837541108,1807
sui,88,1.0125079783306683,0.6525709185406449,0.8769288848459257,1.1701188995702758,0.6359390885006816,0.7044462608798762,0.4841075794621027,1.1701188995702758,0.6864923034625843,409
sol,88,1.0828435936200402,1.2922332395304523,1.645470227780214,1.3694767359964393,1.449314115822987,0.7370562903840048,0.5031905195989061,1.3694767359964393,0.8266511440286249,1097
bnb,88,0.5246017489116972,0.9799206037866783,1.2372467288544475,1.2869087117522908,0.8038482998706336,0.7477272197622697,0.52316715542522,1.2869087117522908,0.6133754633286008,1705
btc,88,0.48000040199436733,1.112733526175726,1.2455237653281197,1.3023909536045561,0.7580344727895936,0.6433976604622373,0.5387642660369933,1.3023909536045561,0.4383058431058077,2541
xrp,89,-0.5922403976391983,0.19838806647000087,0.2194510249429567,1.061115991953964,0.14327293214163117,0.9271793249220751,0.48672566371681414,1.061115991953964,0.6695952174258987,1356
eth,89,0.22126834248327487,0.6513910254004162,0.6576307468010775,1.1717253050062602,0.46000344019211586,0.7332879329065738,0.5230866540164453,1.1717253050062602,0.5178379170653122,1581
algo,89,0.2372726124438289,0.3420518064127987,0.3368557069551256,1.1182595697349738,0.29651185918092837,0.7292375637893816,0.4854961832061069,1.1182595697349738,0.6321486446494899,655
vet,89,0.17809616260144923,0.5718403629518093,0.6148517843543297,1.1770642434491934,0.46745602107488543,0.8218561841646443,0.5035971223021583,1.1770642434491934,0.6718336910711723,973
