asset,max_pivot_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
sol,10,0.6230483120946158,0.9892228445673693,1.3873148722143687,1.2117736892031181,1.130684452321988,0.8444092963127497,0.5027685492801772,1.2117736892031181,0.9651621654113088,1806
bnb,10,0.21612128955824406,0.6236160493346709,0.9092878493297516,1.1474247805535651,0.538126466204839,0.919156562224419,0.5045766590389016,1.1474247805535651,0.7931522500848431,2622
btc,10,0.20467035951398338,0.6147289120475778,0.7806933360724136,1.1333414474392212,0.4777035608097846,0.6907685926372371,0.5203003337041157,1.1333414474392212,0.5367937149714413,3596
xrp,11,-0.7974187118073919,0.27137462746323276,0.3383534059516619,1.066420798098325,0.23965651093391133,0.9848090560605552,0.5046881369751325,1.066420798098325,0.8697051176737886,2453
eth,11,0.17534317163130275,0.574481010249344,0.7536398831031971,1.1212602303447672,0.45835044570874545,0.8313879433143918,0.5066344993968637,1.1212602303447672,0.6633239873492648,2487
algo,11,1.514469380925199,0.5403857300353835,0.8161468433051923,1.112685854450019,0.634575557849787,0.7423556820220558,0.49198396793587174,1.112685854450019,0.8717490948757282,1996
vet,11,-0.8979021526916546,0.17110931300282234,0.23777291859574373,1.034342517492655,0.14766861947345603,0.9908388057813411,0.49777580071174377,1.034342517492655,0.8551013150759659,2248
atom,11,-0.9786594438603755,-0.03661781250340457,-0.048481730400419476,0.9925499085038328,-0.03189175850849507,0.9848224554389167,0.47679755226925036,0.9925499085038328,0.8577169900490621,1961
pol,11,-0.2105067687327259,0.19157488094464714,0.2836324618588045,1.0370451829813194,0.16497179758543692,0.744791796463084,0.4838160136286201,1.0370451829813194,0.6413661377918501,587
tao,11,-0.8812672893742034,-0.11073131179212717,-0.14778242560737986,0.9798178673502439,-0.10851064272992339,0.9541640930683986,0.4923258559622196,0.9798178673502439,0.9350287405881494,847
ltc,11,2.444098213607415,0.4898370095786806,0.648431946415503,1.1141565507133506,0.40910190509062266,0.9608082584851924,0.49171270718232046,1.1141565507133506,0.8024475106754027,3439
xlm,11,-0.9758186554921193,0.06850632803992592,0.08691801536006451,1.0160047568120816,0.05870967701254989,0.9982953348317147,0.4921709691070673,1.0160047568120816,0.8555355154482559,2363
avax,11,-0.3108791867148393,0.4042566026367134,0.6591357870813286,1.0830281958263426,0.39917791870002733,0.9709897402650403,0.4872881355932203,1.0830281958263426,0.958791176371694,1652
link,11,-0.9728435407504044,0.14946812613804292,0.21268675036197618,1.030125966732318,0.14381498925615602,0.9963598436818056,0.48038819247877074,1.030125966732318,0.9586758322107134,2473
ada,11,0.25147443551727333,0.6838944159780614,1.0159905030832954,1.1769029520993346,0.7001844081075713,0.9683930217039713,0.49979244499792447,1.1769029520993346,0.9914596155132941,2409
trx,11,0.2650251621725195,0.656256909028541,1.0469696745362476,1.199109029484412,0.6915035244081259,0.9634410929591023,0.5059241706161137,1.199109029484412,1.0151861293575528,2532
sui,11,0.5003653027909558,0.9022727002450414,1.3478742046980066,1.1832476815093196,1.0785367058382058,0.7192207272944624,0.5086848635235732,1.1832476815093196,0.8597245087611095,806
sol,11,0.6591443144623306,1.0123577194884068,1.4052796042853486,1.2203940099779376,1.1219994338303616,0.8622922075463435,0.5042492917847026,1.2203940099779376,0.9556813269051282,1765
