asset,mom_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
ltc,134,0.2992838879836921,0.7113925074411689,0.8148579807013292,1.2144605011007616,0.5981919918444065,0.8374087214744347,0.5086489013557737,1.2144605011007616,0.7041558434295095,2139
xlm,134,1.0405287393509908,0.40636817703009737,0.5006106465555843,1.1398037143711295,0.3447391040787214,0.8158627619917663,0.4904722452361226,1.1398037143711295,0.6921304706382098,1207
avax,134,1.5578304928737716,0.5522007893164343,0.6599239132270042,1.1582526801568298,0.5832266587335744,0.7573354750953425,0.5065710872162486,1.1582526801568298,0.7998870107140486,837
link,134,0.2612009877807202,0.6821634178098123,0.8180375292905165,1.1785175131672092,0.5889139700083378,0.8974510379116325,0.5059786028949025,1.1785175131672092,0.7747724956016258,1589
ada,134,0.4136268077980232,0.8383974959851109,1.010713858240887,1.2609292227932505,0.8069666656024862,0.681474265852517,0.515625,1.2609292227932505,0.6559263578939339,1280
trx,134,0.1711061046287754,0.5420066583027564,0.6575121115830854,1.1608866972244445,0.40847291768931976,0.85292867023241,0.5296679368535656,1.1608866972244445,0.6427933258268099,1837
sui,134,2.1095513851385164,0.8714272743083353,1.3212952821513109,1.21496011516717,1.0234077776254036,0.6046988303511898,0.4894613583138173,1.21496011516717,0.7101607952236579,427
sol,134,0.8541535782251553,1.1644156350255206,1.49515960686581,1.316248864830247,1.2863774977505562,0.7226710625936785,0.5092838196286472,1.316248864830247,0.7983642311498308,1131
bnb,134,0.4033127949748878,0.8481426262807047,1.0364594433311924,1.2519594872135262,0.7846020232455323,0.6535123589590791,0.5160276555625393,1.2519594872135262,0.6045529409408003,1591
btc,134,0.4884809138120303,1.1040729737497483,1.228033312735919,1.300239310440818,0.7771970321394829,0.643271929581157,0.5398579321231255,1.300239310440818,0.45282245505126656,2534
xrp,135,2.1096543055586445,0.4773491384250556,0.5527675381718906,1.152370026389883,0.43875873674605614,0.7637309881438423,0.5024255024255024,1.152370026389883,0.7019885794230244,1443
eth,135,0.21113381329448622,0.6352465858608533,0.6226867980022256,1.1687561275872915,0.43067856347341454,0.770842141444782,0.5251937984496124,1.1687561275872915,0.5226083752851977,1548
algo,135,-0.6872970711822675,0.17470113249777675,0.1764380411148548,1.0498171174594644,0.14742867288287614,0.8559997871812769,0.49211711711711714,1.0498171174594644,0.7223703178556447,888
vet,135,-0.07633230592022666,0.34609592533226247,0.37192324738021904,1.0944827328310722,0.2934673065341039,0.8416955363187335,0.49958779884583676,1.0944827328310722,0.7137042186442953,1213
atom,135,-0.7198058572721646,0.1301988831161495,0.13638216143964094,1.0353533895061404,0.09804800453241644,0.9013478100048707,0.4900095147478592,1.0353533895061404,0.6787719836413818,1051
pol,135,-0.7573524512211862,-1.271297959398627,-0.8589374080809614,0.6598567965981402,-0.6992138513825473,0.7468786945100411,0.4528301886792453,0.6598567965981402,0.41078326653727093,159
tao,135,1.8683902324612207,0.7910797006200824,1.2455986701655914,1.1909502844102502,0.8418253466632637,0.7275754409126092,0.4576612903225806,1.1909502844102502,0.7742474586186916,496
ltc,135,0.2597930545723228,0.6679417621911689,0.7586218995398746,1.2004837541892155,0.5678248383304231,0.8303901953493884,0.5093457943925234,1.2004837541892155,0.70592408667282,2140
xlm,135,1.6315074090817592,0.43712188913213795,0.544374699175178,1.1522464888367308,0.3661923158460129,0.8184339044931254,0.4920767306088407,1.1522464888367308,0.6856307458047114,1199
avax,135,1.1045705465776945,0.514730513032027,0.6069114385867922,1.1468932297612278,0.5312848108632363,0.7669783222604276,0.5054021608643458,1.1468932297612278,0.7916451862898976,833
link,135,0.23546321983651075,0.6558768370869598,0.786728903659149,1.170753047852585,0.5762524723383442,0.8838970409050431,0.5043804755944932,1.170753047852585,0.776590704706569,1598
ada,135,0.38779055868917633,0.8102098555681129,0.9766385591014232,1.2509861804635887,0.750093727044913,0.7087754361237064,0.5168100078186083,1.2509861804635887,0.656185560896599,1279
trx,135,2.1781814655584313,0.4598493695642694,0.5494328217822442,1.1355445578500276,0.34510862600829734,0.8523713475570185,0.5298303229337712,1.1355445578500276,0.6396892636451273,1827
