time,total_market_cap,symbols_count,total_index
2015-09-29,4948288515.550315,2,4948288515.550315
2015-09-30,4938826091.148165,2,4938826091.148165
2015-10-01,4967925101.4547415,2,4967925101.4547415
2015-10-02,4962151770.048272,2,4962151770.048272
2015-10-03,4993636223.671313,2,4993636223.671313
2015-10-04,4983038936.470639,2,4983038936.470639
2015-10-05,5025529872.949634,2,5025529872.949634
2015-10-06,5148766856.716174,2,5148766856.716174
2015-10-07,5080369719.095024,2,5080369719.095024
2015-10-08,5067522365.140632,2,5067522365.140632
2015-10-09,5103336811.825507,2,5103336811.825507
2015-10-10,5123331191.906564,2,5123331191.906564
2015-10-11,5168385958.120538,2,5168385958.120538
2015-10-12,5133039290.707927,2,5133039290.707927
2015-10-13,5220068932.063519,2,5220068932.063519
2015-10-14,5266835858.008096,2,5266835858.008096
2015-10-15,5310325572.847806,2,5310325572.847806
2015-10-16,5481036044.637118,2,5481036044.637118
2015-10-17,5633301317.325337,2,5633301317.325337
2015-10-18,5450112948.2384405,2,5450112948.2384405
2015-10-19,5487823433.029956,2,5487823433.029956
2015-10-20,5611435376.572241,2,5611435376.572241
2015-10-21,5546450924.327366,2,5546450924.327366
2015-10-22,5704078248.967923,2,5704078248.967923
2015-10-23,5753167875.921731,2,5753167875.921731
2015-10-24,5855158179.177239,2,5855158179.177239
2015-10-25,5892963388.116092,2,5892963388.116092
2015-10-26,5928232669.284043,2,5928232669.284043
2015-10-27,6096782879.50585,2,6096782879.50585
2015-10-28,6313279707.552873,2,6313279707.552873
2015-10-29,6549657145.098925,2,6549657145.098925
2015-10-30,6853479729.920222,2,6853479729.920222
2015-10-31,6557552217.693449,2,6557552217.693449
2015-11-01,6794105398.633957,2,6794105398.633957
2015-11-02,7523081207.305543,2,7523081207.305543
2015-11-03,8397887848.549356,2,8397887848.549356
2015-11-04,8532863366.941427,2,8532863366.941427
2015-11-05,8009485336.17687,2,8009485336.17687
2015-11-06,7740797490.225037,2,7740797490.225037
2015-11-07,7984285653.294267,2,7984285653.294267
2015-11-08,7708952460.27779,2,7708952460.27779
2015-11-09,7844645997.729609,2,7844645997.729609
2015-11-10,6956676951.348032,2,6956676951.348032
2015-11-11,6432203018.9105835,2,6432203018.9105835
2015-11-12,6995777723.825485,2,6995777723.825485
2015-11-13,6963839789.875229,2,6963839789.875229
2015-11-14,6884705260.82906,2,6884705260.82906
2015-11-15,6620732141.524864,2,6620732141.524864
2015-11-16,6841325811.538227,2,6841325811.538227
2015-11-17,6928911797.44887,2,6928911797.44887
2015-11-18,6917598799.135021,2,6917598799.135021
2015-11-19,6745259719.014794,2,6745259719.014794
2015-11-20,6661560730.819584,2,6661560730.819584
2015-11-21,6762052923.784403,2,6762052923.784403
2015-11-22,6713332828.536336,2,6713332828.536336
2015-11-23,6682638243.036783,2,6682638243.036783
2015-11-24,6621554048.560934,2,6621554048.560934
2015-11-25,6802418746.847361,2,6802418746.847361
2015-11-26,7310858108.158227,2,7310858108.158227
2015-11-27,7415457096.394343,2,7415457096.394343
2015-11-28,7397987203.220896,2,7397987203.220896
2015-11-29,7686759318.036671,2,7686759318.036671
2015-11-30,7803265953.502202,2,7803265953.502202
2015-12-01,7493145432.449125,2,7493145432.449125
2015-12-02,7420214212.01832,2,7420214212.01832
2015-12-03,7459990257.804411,2,7459990257.804411
2015-12-04,7501416855.248595,2,7501416855.248595
